Dataset,Group,name,SampleID,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,Gene.ID,TotalRpoBHitsInSample,SkinSite,microenvironment,NormHits,superkingdom,phylum,class,order,family,genus,species
LKMB002,B12_Riboswitch,Bacteroides helcogenes,LKMN002-3-30_S233,290053,S,1,0,1,0.202,RF00174,14573,toe_web_space,foot,6.862005077883757e-5,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides helcogenes
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-1-08_S12,1437360,S,1,0,1,0.02392,RF00174,20826,toe_web_space,foot,4.801690194948622e-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-2-024_S115,1437360,S,1,0,1,0.00559,RF00174,1330,volar_forearm,dry,7.518796992481203e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-2-039_S130,1437360,S,3,0,3,0.00111,RF00174,9430,occiput,sebaceous,3.181336161187699e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-2-048_S139,1437360,S,1,0,1,4.6e-4,RF00174,13909,occiput,sebaceous,7.189589474441009e-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-2-049_S140,1437360,S,2,0,2,0.01869,RF00174,1017,back,sebaceous,0.0019665683382497543,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Bradyrhizobium erythrophlei,LKMB002-2-056_S147,1437360,S,3,0,3,0.00909,RF00174,3602,volar_forearm,dry,8.32870627429206e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-1-06_S10,588932,S,1,2,3,0.01457,RF00174,3108,antecubital fossa,moist,9.652509652509653e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-1-31_S35,588932,S,5,0,5,0.01055,RF00174,4688,antecubital fossa,moist,0.0010665529010238908,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-1-74_S73,588932,S,7,1,8,0.03827,RF00174,16637,toe_web_space,foot,4.8085592354390815e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-1-93_S92,588932,S,1,0,1,2.3e-4,RF00174,17401,occiput,sebaceous,5.746796161140164e-5,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-2-007_S98,588932,S,1,0,1,9.8e-4,RF00174,4676,back,sebaceous,2.13857998289136e-4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMB002-2-016_S107,588932,S,4,0,4,0.01595,RF00174,1665,volar_forearm,dry,0.0024024024024024023,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMN002-3-44_S243,588932,S,29,1,30,0.0377,RF00174,6418,volar_forearm,dry,0.004674353381115612,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Brevundimonas naejangsanensis,LKMN002-3-45_S244,588932,S,33,0,33,0.05565,RF00174,5319,antecubital fossa,moist,0.006204173716864072,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-1-07_S11,43765,S,2,0,2,0.01026,RF00174,18938,umbilicus,moist,1.0560777273207308e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-1-32_S36,43765,S,2,11,13,0.02625,RF00174,23564,umbilicus,moist,5.516890171447971e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-1-65_S64,43765,S,1,3,4,0.03467,RF00174,14711,umbilicus,moist,2.7190537692882877e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-1-73_S72,43765,S,1,4,5,0.08197,RF00174,26380,umbilicus,moist,1.8953752843062926e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-1-89_S88,43765,S,4,2,6,0.018,RF00174,19152,umbilicus,moist,3.132832080200501e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-2-018_S109,43765,S,4,25,29,0.0755,RF00174,25177,umbilicus,moist,0.0011518449378400922,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-2-033_S124,43765,S,1,1,2,0.0037200000000000002,RF00174,3535,antecubital fossa,moist,5.657708628005657e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMB002-2-044_S135,43765,S,2,0,2,0.4,RF00174,23394,toe_web_space,foot,8.54920064973925e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMN002-3-04_S207,43765,S,1,0,1,0.00388,RF00174,8791,umbilicus,moist,1.1375270162666363e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMN002-3-37_S240,43765,S,6,46,52,0.55914,RF00174,11958,umbilicus,moist,0.004348553269777555,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMN002-3-64_S263,43765,S,2,18,20,0.08981,RF00174,14225,umbilicus,moist,0.00140597539543058,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium amycolatum,LKMN002-3-79_S278,43765,S,2,0,2,0.00116,RF00174,8406,back,sebaceous,2.3792529145848205e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMB002-1-28_S32,39791,S,1,1,2,8.5e-4,RF00174,10668,occiput,sebaceous,1.8747656542932134e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMB002-1-48_S52,39791,S,15,0,15,0.10417,RF00174,6643,umbilicus,moist,0.0022580159566460934,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMB002-1-81_S80,39791,S,11,0,11,0.40741,RF00174,9217,umbilicus,moist,0.0011934468916133232,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMB002-2-010_S101,39791,S,13,0,13,0.06806,RF00174,15999,umbilicus,moist,8.125507844240265e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMB002-2-052_S143,39791,S,103,0,103,0.74638,RF00174,15487,umbilicus,moist,0.006650739329760444,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium glucuronolyticum,LKMN002-3-73_S272,39791,S,57,0,57,0.5,RF00174,19890,umbilicus,moist,0.002865761689291101,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-1-32_S36,161879,S,1,0,1,0.00207,RF00174,23564,umbilicus,moist,4.2437616703445933e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-1-43_S47,161879,S,1,0,1,0.0101,RF00174,3275,nare,moist,3.053435114503817e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-012_S103,161879,S,2,0,2,0.00136,RF00174,5117,alar crease,sebaceous,3.9085401602501464e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-014_S105,161879,S,4,0,4,0.00207,RF00174,8806,occiput,sebaceous,4.542357483533954e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-015_S106,161879,S,5,1,6,0.00212,RF00174,10182,back,sebaceous,5.892751915144372e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-016_S107,161879,S,10,0,10,0.03774,RF00174,1665,volar_forearm,dry,0.006006006006006006,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-017_S108,161879,S,2,0,2,0.0202,RF00174,686,antecubital fossa,moist,0.0029154518950437317,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-018_S109,161879,S,2,0,2,0.00654,RF00174,25177,umbilicus,moist,7.943758192000635e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-022_S113,161879,S,2,0,2,0.00216,RF00174,5376,occiput,sebaceous,3.720238095238095e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-046_S137,161879,S,3,0,3,6.4e-4,RF00174,15241,alar crease,sebaceous,1.9683747785578375e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-047_S138,161879,S,3,0,3,0.2,RF00174,1595,nare,moist,0.0018808777429467085,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMB002-2-050_S141,161879,S,2,0,2,0.05882,RF00174,524,volar_forearm,dry,0.003816793893129771,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-10_S213,161879,S,6,0,6,0.00556,RF00174,6738,volar_forearm,dry,8.904719501335708e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-11_S214,161879,S,6,0,6,0.01004,RF00174,2729,antecubital fossa,moist,0.0021986075485525836,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-12_S215,161879,S,1,0,1,0.00625,RF00174,7620,umbilicus,moist,1.3123359580052493e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-64_S263,161879,S,1,0,1,0.00465,RF00174,14225,umbilicus,moist,7.0298769771529e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-69_S268,161879,S,4,0,4,0.00328,RF00174,5038,occiput,sebaceous,7.939658594680428e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-70_S269,161879,S,1,0,1,5.9e-4,RF00174,6804,back,sebaceous,1.4697236919459142e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-84_S283,161879,S,5,0,5,8.7e-4,RF00174,20864,alar crease,sebaceous,2.3964723926380368e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-88_S287,161879,S,3,0,3,0.015,RF00174,2389,volar_forearm,dry,0.0012557555462536626,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kroppenstedtii,LKMN002-3-89_S288,161879,S,3,0,3,0.02703,RF00174,2152,antecubital fossa,moist,0.0013940520446096654,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMB002-1-27_S31,35755,S,1,0,1,0.04348,RF00174,195,nare,moist,0.005128205128205128,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMB002-1-30_S34,35755,S,1,0,1,0.01425,RF00174,547,volar_forearm,dry,0.0018281535648994515,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMB002-1-75_S74,35755,S,2,0,2,0.00367,RF00174,2458,alar crease,sebaceous,8.136696501220504e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMB002-2-040_S131,35755,S,5,0,5,0.00141,RF00174,12407,back,sebaceous,4.029983074071089e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMB002-2-041_S132,35755,S,4,0,4,0.00699,RF00174,3697,volar_forearm,dry,0.0010819583446037328,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMN002-3-01_S204,35755,S,1,0,1,2.6e-4,RF00174,13024,back,sebaceous,7.678132678132678e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium kutscheri,LKMN002-3-02_S205,35755,S,1,1,2,0.00284,RF00174,4775,volar_forearm,dry,4.18848167539267e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium kutscheri
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-043_S134,43768,S,2,0,2,0.00214,RF00174,7728,umbilicus,moist,2.587991718426501e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-046_S137,43768,S,1,0,1,2.1e-4,RF00174,15241,alar crease,sebaceous,6.561249261859458e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-049_S140,43768,S,5,0,5,0.04673,RF00174,1017,back,sebaceous,0.004916420845624385,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-056_S147,43768,S,2,0,2,0.00612,RF00174,3602,volar_forearm,dry,5.55247084952804e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-066_S173,43768,S,2,0,2,0.03509,RF00174,643,umbilicus,moist,0.003110419906687403,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-081_S188,43768,S,1,0,1,3.6e-4,RF00174,11046,volar_forearm,dry,9.053050878145935e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-091_S198,43768,S,2,0,2,0.00353,RF00174,2256,umbilicus,moist,8.865248226950354e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMB002-2-092_S199,43768,S,1,0,1,0.00262,RF00174,7527,toe_web_space,foot,1.328550551348479e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium matruchotii,LKMN002-3-49_S248,43768,S,1,0,1,0.00106,RF00174,7689,alar crease,sebaceous,1.3005592404734037e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii
LKMB002,B12_Riboswitch,Corynebacterium xerosis,LKMB002-1-86_S85,1725,S,2,1,3,0.0057,RF00174,3035,back,sebaceous,9.884678747940692e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis
LKMB002,B12_Riboswitch,Corynebacterium xerosis,LKMB002-1-87_S86,1725,S,3,4,7,0.01299,RF00174,3516,volar_forearm,dry,0.0019908987485779293,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis
LKMB002,B12_Riboswitch,Corynebacterium xerosis,LKMB002-2-018_S109,1725,S,6,10,16,0.04249,RF00174,25177,umbilicus,moist,6.355006553600508e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis
LKMB002,B12_Riboswitch,Corynebacterium xerosis,LKMN002-3-78_S277,1725,S,1,0,1,4.5e-4,RF00174,10375,occiput,sebaceous,9.63855421686747e-5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis
LKMB002,B12_Riboswitch,Corynebacterium xerosis,LKMN002-3-79_S278,1725,S,2,0,2,0.00114,RF00174,8406,back,sebaceous,2.3792529145848205e-4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis
